n,t,Run,Time_seconds
25000,1,1,16.976627
25000,1,2,17.600802
25000,1,3,16.958349
25000,2,1,15.246925
25000,2,2,15.057657
25000,2,3,15.395657
25000,4,1,11.408808
25000,4,2,11.204488
25000,4,3,11.236812
25000,8,1,9.365645
25000,8,2,9.958183
25000,8,3,9.613507
25000,16,1,9.565636
25000,16,2,9.482691
25000,16,3,9.549243
25000,32,1,9.661356
25000,32,2,9.510636
25000,32,3,9.688677
25000,64,1,9.507831
25000,64,2,10.009139
25000,64,3,9.453684
30000,1,1,26.320735
30000,1,2,26.268954
30000,1,3,26.731617
30000,2,1,25.199712
30000,2,2,25.015589
30000,2,3,25.326492
30000,4,1,19.326049
30000,4,2,19.537496
30000,4,3,19.469499
30000,8,1,14.981653
30000,8,2,15.642751
30000,8,3,15.018410
30000,16,1,15.119370
30000,16,2,14.934588
30000,16,3,15.617964
30000,32,1,14.812661
30000,32,2,14.903554
30000,32,3,14.822276
30000,64,1,14.846585
30000,64,2,14.736416
30000,64,3,14.786149
40000,1,1,77.684071
40000,1,2,77.068069
40000,1,3,76.604728
40000,2,1,59.465649
40000,2,2,55.506326
40000,2,3,55.779511
40000,4,1,42.436416
40000,4,2,42.746515
40000,4,3,42.939969
40000,8,1,34.030999
40000,8,2,34.074420
40000,8,3,33.535437
40000,16,1,33.880941
40000,16,2,33.591736
40000,16,3,34.096614
40000,32,1,33.405157
40000,32,2,33.510059
40000,32,3,33.777848
40000,64,1,33.000989
40000,64,2,33.243687
40000,64,3,33.170703
